Edge,Count
"(35, 1033)",5
"(35, 103482)",8
"(35, 103515)",11
"(35, 1050679)",5
"(35, 1103960)",7
"(35, 1103985)",44
"(35, 1109199)",20
"(35, 1112911)",10
"(35, 1113438)",0
"(35, 1113831)",36
"(35, 1114331)",22
"(35, 1117476)",14
"(35, 1119505)",0
"(35, 1119708)",59
"(35, 1120431)",0
"(35, 1123756)",14
"(35, 1125386)",0
"(35, 1127430)",64
"(35, 1127913)",27
"(35, 1128204)",0
"(35, 1128227)",22
"(35, 1128314)",25
"(35, 1128453)",42
"(35, 1128945)",0
"(35, 1128959)",0
"(35, 1128985)",0
"(35, 1129018)",0
"(35, 1129027)",44
"(35, 1129573)",12
"(35, 1129683)",9
"(35, 1129778)",59
"(35, 1130847)",94
"(35, 1130856)",101
"(35, 1131116)",13
"(35, 1131360)",15
"(35, 1131557)",0
"(35, 1131752)",90
"(35, 1133196)",0
"(35, 1133338)",58
"(35, 1136814)",85
"(35, 1137466)",0
"(35, 1152421)",23
"(35, 1152508)",0
"(35, 1153065)",93
"(35, 1153280)",31
"(35, 1153577)",20
"(35, 1153853)",5
"(35, 1153943)",0
"(35, 1154176)",2
"(35, 1154459)",31
"(35, 116552)",0
"(35, 12576)",0
"(35, 128540)",23
"(35, 132806)",15
"(35, 135130)",0
"(35, 141342)",11
"(35, 141347)",51
"(35, 148170)",52
"(35, 15670)",0
"(35, 1688)",13
"(35, 175291)",0
"(35, 178727)",0
"(35, 18582)",10
"(35, 190697)",10
"(35, 190706)",6
"(35, 1956)",0
"(35, 197054)",0
"(35, 198443)",14
"(35, 198653)",0
"(35, 206371)",89
"(35, 210871)",0
"(35, 229635)",24
"(35, 231249)",50
"(35, 248425)",6
"(35, 249421)",0
"(35, 254923)",6
"(35, 259701)",100
"(35, 259702)",87
"(35, 263279)",0
"(35, 263498)",5
"(35, 265203)",32
"(35, 273152)",59
"(35, 27510)",4
"(35, 28290)",0
"(35, 286500)",0
"(35, 287787)",90
"(35, 28851)",10
"(35, 289779)",59
"(35, 289780)",67
"(35, 289781)",58
"(35, 307015)",1
"(35, 335733)",50
"(35, 33904)",23
"(35, 33907)",3
"(35, 35061)",0
"(35, 38205)",0
"(35, 387795)",36
"(35, 415693)",55
"(35, 41714)",0
"(35, 427606)",0
"(35, 44368)",18
"(35, 45599)",115
"(35, 46079)",18
"(35, 46431)",0
"(35, 486840)",0
"(35, 48766)",15
"(35, 503883)",0
"(35, 503893)",45
"(35, 513189)",21
"(35, 54129)",0
"(35, 54131)",0
"(35, 56119)",0
"(35, 561238)",36
"(35, 568857)",1
"(35, 573964)",40
"(35, 573978)",84
"(35, 574009)",95
"(35, 574264)",39
"(35, 574462)",64
"(35, 575077)",0
"(35, 575292)",4
"(35, 575331)",0
"(35, 576725)",68
"(35, 576795)",95
"(35, 577227)",90
"(35, 578780)",31
"(35, 579008)",0
"(35, 592973)",0
"(35, 593091)",13
"(35, 593105)",0
"(35, 593240)",0
"(35, 593260)",72
"(35, 593813)",10
"(35, 594047)",21
"(35, 594543)",93
"(35, 594649)",15
"(35, 594900)",90
"(35, 608326)",32
"(35, 634902)",121
"(35, 634904)",86
"(35, 634938)",122
"(35, 634975)",89
"(35, 640617)",83
"(35, 646809)",3
"(35, 646837)",55
"(35, 647408)",10
"(35, 647447)",10
"(35, 66556)",7
"(35, 66563)",0
"(35, 66805)",0
"(35, 69284)",12
"(35, 69296)",52
"(35, 694759)",36
"(35, 735303)",80
"(35, 78511)",1
"(35, 787016)",83
"(35, 801170)",100
"(35, 81722)",0
"(35, 82098)",0
"(35, 84021)",6
"(35, 85352)",23
"(35, 86359)",0
"(35, 8865)",0
"(35, 887)",0
"(35, 97645)",124
"(35, 98698)",83
"(35, 82920)",3
"(35, 210872)",12
"(1033, 1034)",28
"(1033, 1107062)",52
"(1033, 41714)",28
"(1033, 45605)",2
"(103482, 1114388)",30
"(103482, 1119140)",7
"(103482, 1128990)",57
"(103482, 27510)",107
"(103482, 27514)",57
"(103515, 8865)",3
"(103515, 1113742)",90
"(103515, 1127913)",35
"(103515, 1128314)",69
"(103515, 1129778)",111
"(103515, 1153853)",45
"(103515, 246618)",53
"(103515, 459214)",67
"(103515, 54131)",33
"(103515, 575402)",93
"(1050679, 3229)",0
"(1050679, 35797)",0
"(1050679, 427606)",24
"(1103960, 3229)",0
"(1103960, 33895)",111
"(1103960, 33904)",83
"(1103960, 33907)",43
"(1103985, 1688)",76
"(1109199, 6214)",0
"(1109199, 148170)",56
"(1112911, 887)",0
"(1112911, 22229)",60
"(1112911, 144701)",21
"(1113438, 35061)",58
"(1113438, 35852)",3
"(1113438, 141324)",5
"(1113438, 240791)",67
"(1113831, 248425)",85
"(1113831, 248431)",0
"(1114331, 85352)",38
"(1114331, 134199)",0
"(1114331, 259701)",101
"(1114331, 259702)",91
"(1117476, 54132)",15
"(1117476, 210871)",21
"(1119505, 375605)",0
"(1119708, 14062)",117
"(1119708, 82920)",25
"(1119708, 141342)",45
"(1119708, 141347)",132
"(1120431, 13656)",80
"(1120431, 13658)",74
"(1120431, 13686)",0
"(1123756, 28230)",0
"(1123756, 124952)",0
"(1123756, 287787)",42
"(1125386, 1955)",5
"(1125386, 3231)",0
"(1125386, 238401)",0
"(1127430, 85352)",101
"(1127913, 82920)",25
"(1127913, 231249)",110
"(1128204, 58758)",23
"(1128227, 44368)",89
"(1128227, 220420)",0
"(1128227, 577331)",59
"(1128314, 579108)",0
"(1128453, 87417)",130
"(1128453, 289780)",161
"(1128453, 289781)",129
"(1128959, 56709)",3
"(1128985, 44455)",115
"(1128985, 54132)",1
"(1128985, 227178)",65
"(1129018, 94641)",0
"(1129027, 85352)",113
"(1129573, 12576)",105
"(1129573, 56115)",58
"(1129683, 12337)",0
"(1129683, 70970)",38
"(1129683, 82920)",74
"(1129683, 608326)",154
"(1129778, 66556)",89
"(1129778, 575402)",107
"(1130847, 287787)",73
"(1130847, 634938)",95
"(1130856, 287787)",78
"(1131116, 148341)",105
"(1131116, 259702)",105
"(1131116, 263069)",65
"(1131360, 1688)",20
"(1131360, 307656)",0
"(1131360, 646900)",0
"(1131557, 286513)",0
"(1131752, 577227)",85
"(1133196, 175256)",0
"(1133338, 1688)",105
"(1136814, 1688)",90
"(1136814, 33907)",92
"(1152421, 14062)",33
"(1152421, 82920)",45
"(1152421, 85352)",68
"(1153065, 1688)",114
"(1153280, 14062)",75
