ID,Title
35,"Genetic Algorithms in Search, Optimization and Machine Learning."
40,Dynamic control of genetic algorithms using fuzzy logic techniques.
114,Learning to Act using Real- Time Dynamic Programming.
117,Dynamic Programming and Markov Processes.
128,Reinforcement Learning Algorithms for Average-Payoff Markovian Decision Processes.
130,Ok. Scaling up average reward reinforcement learning by approx-imating the domain models and the value function.
164,Learning polynomials with queries: The highly noisy case.
288,"Memory-based Stochastic Optimization,"
424,A hybrid nearest-neighbor and nearest-hyperrectangle algorithm.
434,Learning Analytically and Inductively.
463,"""Abstraction and Decomposition in Hill-climbing Design Optimization""."
504,Constructive belief and rational representation.
506,"Rationality and its Roles in Reasoning (extended version),"
887,Some studies in machine learning using the game of Checkers.
906,Regularization thory and neural networks architectures.
910,"A Theory of Networks for Approximation and Learning,"
936,The Use of Explicit Goals for Knowledge to Guide Inference and Learning.
940,Decision Models: A Theory of Volitional Explanation.
941,Incremental Learning of Explanation Patterns and their Indices.
943,"Indexing, Elaboration and Refinement: Incremental Learning of Explanatory Cases."
1026,"Phenes and the Baldwin Effect: Learning and evolution in a simulated population,"
1033,The evolutionary cost of learning.
1034,"No Gain: Landscapes, Learning Costs and Genetic Assimilation, submitted to EC and University of Sussex, CSRP 409(?) [Merezhkovsky, KS, 1920] in Khakina LN (1992) Concepts of Symbiogenesis: History of Symbiogenesis as an evolutionary mechanism,"
1035,Evolving sensors in environments of controlled complexity.
1213,Efficient superscalar performance through boosting.
1237,"Toward Learning Systems That Integrate Different Strategies and Representations. In: Artificial Intelligence and Neural Networks: Steps toward Principled Integration. Honavar,"
1246,The Design and Analysis of Efficient Learning Algorithms.
1272,"""Induction of Decision Trees,"""
1365,"Self-Organization and Associative Memory,"
1385,Learning coordinated behaviors for control of a simulated robot.
1481,"Case-based reasoning: Foundational issues, methodological variations, and system approaches."
1688,"""Using DNA to solve NP-Complete Problems"","
1694,"(1993) A NN Algorithm for Hard Satisfiability problems,"
1717,On convergence properties of the em algorithm for gaussian mixtures.
1786,A benchmark for classifier learning.
1817,Hybrid Learning Using Genetic Algorithms and Decision Trees for Pattern Classification.
1919,The frame problem and Bayesian network action representations.
1949,Linking adaptation and similarity learning.
1951,Adaptive similarity assessment for case-based explanation.
1952,Combining rules and cases to learn case adaptation.
1953,Representing self-knowledge for introspection about memory search.
1955,"Machine Learning: A Multistrategy Approach,"
1956,"Inferential Theory of Learning: Developing Foundations for Multistrategy Learning, in Machine Learning: A Multistrategy Approach, Vol. IV, R.S."
1959,Introspective Reasoning using Meta-Explanations for Multistrat-egy Learning.
1997,Estimating the error rate of a prediction rule: improvement on cross-validation.
1999,Wrappers for Performance Enhancement and Oblivious Decision Graphs.
2354,"A Statistical Approach to Solving the EBL Utility Problem,"
2440,Learning logical definitions from relations.
2653,A Decision-theoretic Generalization of On-line Learning and an Application to Boosting.
2654,Experiments with a New Boosting Algorithm.
2658,A new learning algorithm for blind signal separation.
2663,The Canonical Metric For Vector Quantization.
2665,An Information Maximization Approach to Blind Separation and Blind Deconvolution.
2695,"Combining exploratory projection pursuit and projection pursuit regression with application to neural networks, 1991."
2696,"Objective function formulation of the BCM theory of visual cortical plasticity: Statistical connections, stability conditions."
2698,"Face recognition using a hybrid supervised/unsupervised neural network, 1992."
2702,TK (1994). Fast non-linear dimension reduction.
3084,A comparative utility analysis of case-based reasoning and control-rule learning systems.
3085,A model of similarity-based retrieval.
3095,Constructive similarity assessment: Using stored cases to define new situa tions.
3097,Towards a computer model of memory search strategy learning.
3101,Acquiring case adaptation knowledge: A hybrid approach.
3112,Veloso (1994). Planning and Learning by Analogical Reasoning.
3187,A reference Bayesian test for nested hypotheses and its relationship to the Schwarz criterion.
3191,Model selection and accounting for model uncertainty in graphical models using Occam\'s window.
3192,Bayesian graphical models for discrete data.
3217,"Theory and Applications of Agnostic PAC-Learning with Small Decision Trees,"
3218,Rule induction with CN2: some recent improvements.
3220,A Weighted Nearest Neighbor Algorithm for Learning with Symbolic Features.
3222,Beyond independence: Conditions for the optimality of the simple bayesian classifier.
3223,Supervised and unsupervised discretization of continuous features.
3229,Introduction to the Theory of Neural Computa 92 tion.
3231,Irrelevant features and the subset selection problem.
3232,"The Power of Decision Tables,"
3233,A study of cross-validation and bootstrap for accuracy estimation and model selection.
3235,"Scaling up the accuracy of naive-bayes classifiers: a decision-tree hybrid. In Proceedings of the Second International Conference on Knowledge Discovery and Data Mining,"
3236,A machine learning library in C++.
3237,Feature subset selection using the wrapper method: Overfitting and dynamic search space.
3240,"""An analysis of bayesian classifiers,"""
3243,A system for induction of oblique decision trees.
3828,A theory of questions and question asking.
3932,Finding analogues for innovative design.
4274,"`Multistrategy learning and theory revision\',"
4329,Supervised learning from incomplete data via an EM approach.
4330,"Hierarchical Mixtures of Experts and the EM Algorithm,"
4335,A new view of the EM algorithm that justifies incremental and other variants.
4553,Learning Classification Rules Using Lattices.
4584,Neuronlike adaptive elements that can solve difficult learning control problems.
